Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	1.1272411346435547	18.500225	16.669497	111.7164	6.185877	21.911112	18.614885	0.0	18.614885	18.614885	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.383548	7.6243505	45.719738	-2.8630075	10.102148	9.731991	55.059658	-3.5936317	-0.17117298	0.15871379	0.35890806	-0.78302085	-10.273321	9.701851	3.5996046	-55.141697	10.351444	9.618454	55.141697	0.0022650766	-0.6477144	0.386997	0.35996047	-1.0439003	199.66704	370.7242	3040.6067	5.130572e-06	9.509922	10.250607	55.223858	5.1305716e-07
1	1999	2.202202558517456	17.70907	14.165849	67.205025	3.9594252	21.891304	18.614885	0.0	18.614885	18.614885	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.926516	11.624167	55.5336	-1.2636311	12.94633	14.410363	70.94549	-1.6335709	-0.17513645	0.161145	0.30022225	-1.048798	-13.121466	14.390464	1.5152931	-71.046875	13.144927	14.369037	71.046875	0.0004724876	-0.6757457	0.37089202	0.15152931	-1.0509967	379.25833	831.4925	5047.6587	2.2324453e-07	12.337117	14.970343	71.14841	2.2324453e-08
2	2999	3.277221202850342	17.825142	22.95943	140.58832	5.134584	20.375	18.496222	0.0	18.496222	18.496222	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.418002	15.840433	83.16948	-1.8408031	12.323285	18.26115	97.51582	-3.1673777	-0.17438914	0.15354858	0.2770531	-0.7811843	-12.497675	18.252895	3.1295938	-97.50578	12.573199	18.200954	97.50578	0.003669462	-0.6303676	0.39061865	0.31295937	-1.0657563	489.36014	1569.6812	9507.378	1.3464951e-05	11.717915	18.678982	97.97168	1.3464951e-06
3	3999	4.351612091064453	15.418226	9.422609	55.177822	5.3764033	20.67347	18.67411	0.0	18.67411	18.67411	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.560391	5.1475153	25.984592	-3.431429	7.7938113	6.90235	34.999825	-3.0188594	-0.18422659	0.158672	0.22201562	-0.9466177	-7.978038	6.861481	2.9583778	-34.958527	8.078981	6.7423334	34.958527	0.011574248	-0.60084766	0.38698098	0.2958378	-1.0490763	110.729004	165.3907	1222.0986	0.0001339632	7.091386	7.395821	34.91728	1.339632e-05
4	4999	5.445642709732056	19.112518	15.365239	93.06457	6.7504177	22.533333	18.299694	0.0	18.299694	18.299694	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.8295302	6.788726	34.344048	-1.1932677	9.309849	9.210797	48.437393	-2.8734748	-0.17027193	0.1575842	0.3622594	-0.77662945	-9.480121	9.180789	2.6785421	-48.557373	9.538751	9.119858	48.557373	0.004873109	-0.623276	0.3804371	0.2678542	-1.0491788	174.15956	325.39584	2357.8184	2.374719e-05	8.598406	9.757684	48.67765	2.374719e-06
5	5999	12.184611797332764	35.57062	38.983635	151.10214	5.4553943	34.92857	75.1369	0.0	75.1369	75.1369	46.0	5.4835296	2.4228098	18.452297	-1.7541957	0.72402036	-1.8579391	0.67184114	11.698911	-7.7895584	-6.8609276	0.63283336	0.17769605	0.9990005	0.37981054	-1.3730105	0.7427063	0.5614074	11.540987	9.641051e-06	40.1454	20.236893	80.74913	0.7245604	48.443733	25.032413	101.41701	0.7245604	12.399067	2.479056	19.317787	6.039524	-36.044662	26.54124	16.430763	-91.494514	37.73027	24.08489	91.494514	0.017968995	-0.54741395	0.51625854	1.6430763	-0.91247886	2003.6554	2003.2323	8371.246	0.00032288482	30.437937	21.967947	82.54282	2.2914995e-05
6	6999	18.904388427734375	114.8104	57.986122	201.02628	42.039513	59.47059	124.28307	0.0	124.28307	124.28307	66.0	11.752088	4.5469284	30.69348	-3.2879474	1.8486133	-0.5791508	1.7120509	7.444179	-9.7374735	-12.897843	0.26822808	0.051378652	0.3794829	0.20058423	-2.0036142	0.92009443	0.6262271	4.1037583	5.722046e-06	55.025997	26.173155	105.2669	1.9598608	61.845604	29.397785	117.42464	1.9598608	22.06563	2.4360995	29.828363	16.364624	-39.779972	28.95665	22.837593	-99.63326	42.046745	25.553965	99.63326	0.006428223	-0.44530797	0.55727506	2.2837594	-0.8509121	2420.9338	2281.8694	9926.787	4.132205e-05	30.208284	20.93867	84.77915	2.137306e-06
7	7999	25.675891399383545	171.42847	24.312372	222.76877	130.76639	84.0	172.7221	0.0	172.7221	172.7221	88.0	19.365059	6.7323866	41.78888	-7.8893924	3.9473975	0.9300951	2.1237772	8.667196	-9.98727	-21.008871	0.18966284	0.0039642733	0.2005329	0.18493794	-0.11362363	1.1614951	0.6832817	4.402604	1.7166138e-05	75.62837	32.590607	122.77344	2.5153294	83.321815	36.13648	133.98077	2.5153294	29.870403	2.9489684	39.670074	23.971115	-53.45141	34.671772	27.721502	-106.003944	56.170425	30.067736	106.003944	0.14275907	-0.44571885	0.61025304	2.7721503	-0.8061249	4059.185	3219.0676	11236.836	0.020380152	39.958065	23.49213	85.10937	0.0007294397
8	8999	32.4485867023468	191.5352	10.9352455	212.94974	174.10518	89.63636	219.97473	0.0	219.97473	219.97473	97.0	27.880472	8.015196	47.64866	-10.71163	7.3841662	1.0866181	2.2711267	10.14743	-9.066099	-29.950487	0.20412879	0.00569064	0.21515773	0.19472322	0.13833988	1.1836613	0.700266	4.263064	1.0371208e-05	90.73849	37.779087	140.42978	2.641987	98.05361	41.57146	153.25487	2.641987	38.72094	2.92425	44.805397	30.130919	-59.33268	40.84048	33.218243	-117.73536	63.117867	34.705135	117.73536	0.012041562	-0.37707156	0.70142967	3.321824	-0.7769462	5188.312	4074.0347	13861.615	0.00014499921	44.20411	27.171999	110.34515	4.217314e-06
9	9999	39.15744137763977	183.08342	21.553202	204.96243	125.62318	86.181816	202.64452	0.0	202.64452	202.64452	90.0	36.545994	9.121394	60.671825	-13.879669	9.854936	0.9782825	2.4097178	11.862667	-11.038677	-38.821976	0.21236715	0.003329533	0.21819676	0.20582284	-0.033247363	1.1654713	0.7207048	4.3369637	1.847744e-05	89.69	36.394768	132.32262	2.8106577	97.672874	40.35611	146.1217	2.8106577	49.002888	5.066528	58.856575	28.658089	-48.669983	38.945213	32.92752	-101.18187	54.266514	30.669888	101.18187	0.011990284	-0.24677025	0.74004084	3.2927523	-0.70188546	3885.4968	3134.5493	10237.7705	0.0001437669	34.662956	22.78986	108.42217	2.899422e-06
10	10999	45.86370849609375	209.54033	13.076112	240.41933	196.24742	92.90909	193.13173	0.0	193.13173	193.13173	90.0	45.036976	10.587743	72.45905	-21.320248	12.602117	0.9318961	2.545228	13.028532	-9.063121	-47.481136	0.19296798	0.0076555	0.20825265	0.18021554	-0.11102481	1.1567196	0.7703026	5.2323093	2.926588e-05	85.94384	35.184444	128.01154	2.6175194	93.83755	39.218376	143.36137	2.6175194	58.55896	7.4205194	76.75877	28.55706	-35.27859	37.056652	36.256516	-90.92892	44.26285	25.662695	90.92892	0.07854389	-0.09148969	0.8018181	3.6256516	-0.64659536	2617.7742	2326.017	8268.067	0.0061691417	26.554096	21.285841	131.45349	8.956005e-05
11	11999	52.6098837852478	208.32379	15.443727	239.98413	189.35854	94.818184	217.81589	0.0	217.81589	217.81589	95.0	53.098938	12.564035	84.03743	-27.591167	14.441663	1.0318469	2.6952918	16.601871	-13.876229	-55.739006	0.18809873	0.006009033	0.19834834	0.1788358	0.053978913	1.1781076	0.7952718	5.581641	3.695488e-06	93.912674	38.921658	134.28563	2.6714685	101.394325	43.015648	151.66272	2.6714685	67.97221	12.951697	87.956314	19.26711	-33.422115	39.017826	26.381954	-93.04565	43.21809	27.778143	93.04565	0.03691453	-0.07910561	0.6396385	2.5684047	-0.61574394	2639.4287	2540.3523	8657.492	0.0013626828	22.972628	17.02968	65.967026	1.6835338e-05
12	12999	59.385435342788696	224.4041	9.568771	239.00766	208.30293	99.5	239.90964	0.0	239.90964	239.90964	104.0	60.395813	15.2119665	96.50169	-28.766247	15.552193	0.98597664	2.6855326	14.930591	-10.752758	-63.110603	0.19175604	0.0050621014	0.20162475	0.1824226	-0.022541387	1.1694424	0.7935536	6.716283	5.155802e-06	99.6105	42.349743	144.60976	2.6307395	107.71345	46.729996	160.10762	2.6307395	71.754585	18.554537	93.5466	3.0297568	-35.95887	35.457718	17.472792	-90.16982	40.1957	30.57116	90.16982	0.036314085	-0.18635964	0.3634269	1.7472792	-0.56963205	2550.29	2700.151	8130.5977	0.0013187127	17.972672	16.906357	51.250256	2.025891e-05
13	13999	66.17324352264404	234.62663	18.088427	261.68018	204.65979	101.1	254.72345	0.0	254.72345	254.72345	109.0	67.2256	17.318567	106.34802	-32.660744	16.397547	0.99396807	2.708017	15.195972	-9.328513	-69.95225	0.187468	0.001550549	0.19148134	0.18452193	-0.009714045	1.1744092	0.80089384	5.473895	9.953976e-06	96.43668	39.400887	145.97269	2.961927	103.573364	43.282207	159.47444	2.961927	74.051186	19.395452	102.14765	3.0188758	-29.522184	30.33085	27.858412	-85.81951	33.575283	25.772472	85.81951	0.027867362	-0.13938437	0.41833523	2.785841	-0.5841167	1791.5201	1965.2401	7364.988	0.00077658985	13.946473	13.38735	77.60911	8.303127e-06
14	14999	72.96795225143433	202.93277	51.486614	254.7936	60.8769	94.7	317.04263	0.0	317.04263	317.04263	143.0	73.055885	19.716244	111.42635	-33.864502	16.80443	1.0116186	2.7351315	15.863171	-12.952954	-75.783966	0.18857414	0.004298876	0.19647834	0.18015185	0.020146588	1.1795757	0.80679095	5.7887554	3.7252903e-06	115.21744	47.780712	166.06221	2.1841395	125.54881	52.18833	182.55542	2.1841395	78.41623	25.006577	111.96535	-16.932034	-47.132572	32.094894	10.801116	-98.42137	47.678616	31.277967	98.42137	0.028518045	-0.31990048	0.22172546	1.0695868	-1.9293035	3251.562	3035.358	9686.767	0.00081327895	20.169468	16.659424	54.11134	1.1601543e-05
15	15999	79.68775749206543	249.39223	32.187042	290.37753	182.6467	108.333336	244.96896	0.0	244.96896	244.96896	108.0	78.03122	21.758757	120.08298	-38.93379	17.423834	1.0420305	2.7498853	14.8465605	-10.449051	-80.86143	0.20262162	0.006435314	0.21618553	0.19100575	0.06799077	1.1731596	0.79597473	5.980275	9.11206e-06	107.751236	43.537254	160.00244	3.084984	115.02671	47.179214	174.52983	3.084984	92.37372	11.519983	115.277534	36.531193	-22.652988	40.35856	79.20227	-86.15032	40.48989	22.417397	86.15032	0.03208565	0.17100257	1.1746212	7.9202266	-0.5014416	2141.971	1824.2605	7421.8774	0.0010294889	30.871603	64.06896	627.2999	1.09086e-05
16	16999	86.47184920310974	275.30206	28.775288	314.98895	221.18181	112.44444	252.5365	0.0	252.5365	252.5365	106.0	83.53537	22.780657	125.89881	-48.095463	21.692753	1.025568	2.7186003	16.442226	-11.3619995	-86.453156	0.22143228	0.00504881	0.22895655	0.2114466	0.039132204	1.1723943	0.79306835	5.815528	7.033348e-06	108.183586	42.89599	159.15009	3.0870054	114.566444	46.10718	171.52557	3.0870054	85.098946	23.582443	112.25736	-9.451563	-29.4675	26.570274	32.367855	-75.85013	34.599148	19.421944	75.85013	0.06910039	-0.14564294	0.42767745	3.0473228	-1.2797543	1574.3131	1386.425	5753.242	0.0047748634	12.410904	9.86663	92.86176	5.412785e-05
17	17999	93.2225489616394	276.29504	11.450217	294.64154	255.27768	118.333336	289.08353	0.0	289.08353	289.08353	134.0	88.62931	24.249645	129.15305	-47.852386	22.46501	0.9982966	2.697215	16.248837	-10.59418	-91.68344	0.22433151	0.0022935772	0.22988088	0.21989158	-0.0021445714	1.1616904	0.78663766	5.448597	4.4107437e-06	108.700035	43.709892	159.5411	2.2911434	115.50116	46.674	171.18942	2.2911434	81.09961	30.478003	113.884964	-19.387865	-34.401546	20.56341	10.588576	-67.729454	34.664566	20.116861	67.729454	0.022904253	-0.31419832	0.2569531	0.22503914	-2.2290726	1606.3204	1232.5919	4587.2793	0.0005246048	12.022905	8.080182	49.687645	6.8808977e-06
18	18999	99.96582221984863	290.13812	11.664739	305.60913	266.90274	122.5	294.3157	0.0	294.3157	294.3157	137.0	93.11804	25.969553	135.23244	-59.869236	22.70355	1.0003595	2.7061818	19.621971	-12.877964	-96.19056	0.22604968	0.0041301553	0.2312713	0.21610181	0.0010371552	1.163655	0.79282475	6.2582064	1.0192394e-05	109.71767	44.59592	161.60684	2.2933357	117.61132	48.211018	173.32727	2.2933357	87.214005	33.522602	120.7974	-25.087116	-30.397318	19.360565	8.835598	-62.680145	30.72161	18.841742	62.680145	0.18782866	-0.29013324	0.31275463	0.12355835	-2.7614896	1298.8285	1101.7479	3928.8005	0.035279606	9.914699	8.288837	76.258255	0.0004110422
19	19999	106.78068232536316	300.97345	16.023746	331.85568	281.5804	130.57143	428.57547	0.0	428.57547	428.57547	163.0	97.59857	27.408228	140.53673	-63.007473	24.070442	1.0117687	2.671346	15.7532425	-9.719544	-100.66073	0.23009034	0.0038854973	0.23586947	0.22052154	0.017762478	1.1761572	0.7950092	6.0480604	6.198883e-06	142.29665	54.892357	212.90079	2.6937954	146.25385	58.00813	217.56966	2.6937954	102.83874	31.927588	137.00423	-15.632994	-43.4151	30.02047	18.37049	-94.6133	44.51641	28.361746	94.6133	0.035029303	-0.24245057	0.21702254	1.3677737	-1.8326789	2786.0996	2540.9485	8951.677	0.0012270521	15.168225	11.959551	42.26613	1.6383565e-05
