Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	2.299769401550293	-227.15741	0.0	-227.15741	-227.15741	1000.0	-242.17836	0.0	-242.17836	-242.17836	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-37.00047	8.482614	-9.236753	-62.235703	-360.8759	14.854883	-325.08313	-398.3246	-3.1458533	1.4062537	-0.19326895	-8.528667	357.73007	14.92141	396.3907	319.18454	357.73007	14.92141	396.3907	319.18454	0.99126816	0.003938801	0.9994175	0.9747007	128193.43	10716.478	157125.58	101878.77	354.61716	15.111761	394.46622	313.393
1	1999	4.5508317947387695	-246.86383	0.0	-246.86383	-246.86383	1000.0	-242.17836	0.0	-242.17836	-242.17836	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-31.878195	6.628822	-16.042097	-45.966225	-353.60815	16.965298	-308.18787	-393.8018	-3.08002	1.398862	-0.17298383	-8.126456	350.5281	16.989471	391.86615	303.9097	350.5281	16.989471	391.86615	303.9097	0.9912743	0.0039803814	0.9995074	0.9771645	123158.6	11923.894	153559.08	92361.12	347.4805	17.122824	389.94003	299.69095
2	2999	6.7941296100616455	-254.69455	0.0	-254.69455	-254.69455	1000.0	-244.49341	0.0	-244.49341	-244.49341	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-41.340054	6.3681493	-28.473352	-54.771103	-368.76953	15.269275	-342.67535	-420.87726	-3.081748	1.4103742	-0.033567496	-9.377508	365.68777	15.328096	418.21417	339.9423	365.68777	15.328096	418.21417	339.9423	0.99162984	0.0038457105	0.99990445	0.97504705	133962.48	11502.845	174903.1	115560.76	362.6372	15.509302	415.6449	334.06372
3	3999	9.091925859451294	-412.37357	0.0	-412.37357	-412.37357	1000.0	-245.0615	0.0	-245.0615	-245.0615	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-37.849667	5.2038193	-21.585684	-51.01006	-367.58698	13.649624	-335.95837	-407.33792	-3.110916	1.3585835	-0.18207555	-7.96735	364.47607	13.754317	406.59744	331.2399	364.47607	13.754317	406.59744	331.2399	0.99152136	0.0037296917	0.99949414	0.9781393	133031.98	10084.442	165321.48	109719.87	361.39658	13.983852	405.85834	326.23706
4	4999	11.32201886177063	-172.92632	0.0	-172.92632	-172.92632	1000.0	-232.00613	0.0	-232.00613	-232.00613	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-38.59133	8.399104	-22.108324	-65.24907	-349.17065	21.290995	-300.18878	-398.12332	-3.0519402	1.3616275	-0.18852052	-8.686581	346.11868	21.215471	394.83084	295.69815	346.11868	21.215471	394.83084	295.69815	0.9912479	0.0039050598	0.9994665	0.9738443	120248.25	14686.8	155891.4	87437.4	343.09872	21.22402	391.90274	291.27472
5	5999	19.09974193572998	-336.69226	0.0	-336.69226	-336.69226	1000.0	-0.6518279	0.0	-0.6518279	-0.6518279	1000.0	1.6845019	3.6957812	12.327742	-17.452566	9.085457	-2.9321668	2.954597	47.161343	-10.168733	-4.2149906	0.87141806	0.08307895	1.0083427	0.7371982	-0.9487996	0.8004081	0.8044504	29.970371	8.7171793e-07	-40.442013	22.659817	-2.726372	-94.55216	33.29105	22.236073	70.07899	-21.416466	6.6756883	1.7419618	12.524642	1.8820301	-26.61536	22.039383	30.139124	-64.463684	30.469952	16.300117	64.463684	0.0960999	-0.55753547	0.6398792	1.9659941	-0.96788037	1194.1119	1073.2191	4155.567	0.00923519	26.476793	15.268469	61.727673	0.000923519
6	6999	26.87740468978882	-217.39401	0.0	-217.39401	-217.39401	1000.0	-4.2735076	0.0	-4.2735076	-4.2735076	1000.0	9.978212	2.8358471	24.893785	1.3549299	5.5012774	-3.7541757	0.88287723	2.9084334	-10.427185	-12.591466	0.63410014	0.05610269	0.73696566	0.5422101	-3.1009762	0.73588395	0.5690323	5.115415	8.158386e-07	-27.104095	15.108163	16.17182	-53.592403	47.614513	15.0048	89.68414	21.288713	13.463742	1.8210348	20.790867	7.8720994	-34.15077	14.8756275	-6.7054524	-79.05565	34.15077	14.8756275	79.05565	6.7054524	-0.6894763	0.10480039	-0.2975418	-0.8887714	1387.5594	1193.0785	6249.7954	44.963097	24.921957	13.630888	70.2624	1.9951525
7	7999	34.65753436088562	-235.89941	0.0	-235.89941	-235.89941	1000.0	-2.2024832	0.0	-2.2024832	-2.2024832	1000.0	15.89884	2.8366795	29.267296	7.7469172	2.601682	-3.760725	0.9111888	2.5008488	-9.994363	-17.891367	0.46773255	0.040801562	0.54204535	0.40080264	-5.160157	0.7599227	0.5847656	5.5542717	3.963709e-06	-11.931449	7.3741713	11.78207	-28.897577	60.576664	7.957506	87.71608	45.53235	18.83932	1.4688306	23.46141	14.424062	-41.73734	7.8539414	-26.529768	-69.7767	41.73734	7.8539414	69.7767	26.529768	-0.6842819	0.043944415	-0.546858	-0.80102545	1803.69	690.7911	4868.7886	703.8286	28.87289	7.1496058	55.74588	14.508017
8	8999	42.43750214576721	-213.50758	0.0	-213.50758	-213.50758	1000.0	-2.845229	0.0	-2.845229	-2.845229	1000.0	20.134174	2.6810257	30.629244	12.580131	1.7188985	-3.7174594	0.9801253	2.5840032	-9.729376	-21.604094	0.3462514	0.029934404	0.40068254	0.29707238	-7.1463323	0.78166676	0.59848064	5.407882	2.3394823e-06	-23.138334	12.778666	5.6658435	-51.239105	47.78463	13.75967	78.47223	19.461727	21.757746	2.5163484	29.60632	16.18882	-26.026878	13.922472	1.2854844	-56.792526	26.030037	13.91657	56.792526	0.016612327	-0.5030658	0.1621994	0.06554262	-0.74730873	871.2337	800.44543	3225.391	0.00027596936	15.205889	10.849314	42.045242	1.4101475e-05
9	9999	50.24066662788391	-160.33914	0.0	-160.33914	-160.33914	1000.0	-6.344581	0.0	-6.344581	-6.344581	1000.0	22.222168	2.4091682	32.600357	14.898481	1.520867	-3.5807204	1.1414375	3.888564	-9.5693035	-23.345062	0.256986	0.021919858	0.29698443	0.22109279	-8.955889	0.8002665	0.61095285	5.175705	1.385808e-06	-6.7634406	11.446828	25.232115	-38.871998	63.666832	10.835436	93.08809	31.98054	22.767311	1.6749047	28.22344	18.005459	-40.89951	10.645379	-9.206465	-69.413345	40.89951	10.645379	69.413345	9.206465	-0.6309484	0.07529141	-0.28071868	-0.7747544	1786.094	856.3116	4818.213	84.75899	26.555082	9.067049	53.586266	2.6238186
10	10999	58.045782804489136	-105.409775	0.0	-105.409775	-105.409775	1000.0	-15.664651	0.0	-15.664651	-15.664651	1000.0	23.026506	2.2509682	32.781883	15.114125	1.4275403	-3.205269	1.490681	5.8738456	-9.925331	-23.932133	0.19209337	0.01590566	0.22102894	0.16591069	-10.248483	0.83369476	0.63022417	5.0258102	1.0430813e-06	-18.71284	10.815719	0.84633136	-37.836647	40.00458	21.458271	67.66246	1.5775139	24.373308	2.2695735	31.174	18.125732	-15.631272	23.214922	26.032675	-44.364765	26.144907	9.985641	44.364765	0.28047675	0.10616307	1.0670162	2.6032674	-0.6954008	783.26917	503.58066	1968.2322	0.0786672	21.677992	13.522277	67.77001	0.0029709518
11	11999	65.84896540641785	-81.15956	0.0	-81.15956	-81.15956	1000.0	-32.26402	0.0	-32.26402	-32.26402	1000.0	23.071114	2.2136502	33.308533	15.2419615	1.3338519	-2.817343	1.8113871	8.090777	-12.456923	-23.82417	0.14441285	0.011776267	0.16586314	0.12507638	-11.262933	0.86500823	0.65069777	5.2941666	6.1169267e-06	-13.101284	10.023987	6.074452	-29.744068	37.163334	18.872158	69.75943	4.8823123	23.898674	2.2112994	30.774075	18.722849	-13.264663	20.344973	22.809284	-47.748833	22.129086	10.0086355	47.748833	0.03294163	0.06293252	0.9252527	2.2809284	-0.69710904	589.86914	467.95825	2279.951	0.001085151	16.724354	10.076831	52.02635	5.057154e-05
12	12999	73.65553784370422	-268.269	0.0	-268.269	-268.269	1000.0	-57.2235	0.0	-57.2235	-57.2235	1000.0	22.744825	2.2247283	32.86135	14.8204565	1.2180923	-2.330148	2.0977824	9.045753	-11.077364	-23.371645	0.109237656	0.008730264	0.12504148	0.0948278	-11.80878	0.9033656	0.6731439	5.6257815	2.0861626e-07	-5.1131716	13.806135	25.839312	-31.353321	48.32277	19.83431	81.56474	5.4896603	22.797998	1.9726192	28.817135	18.036839	-25.52477	20.721033	20.890587	-58.36802	30.308828	12.73774	58.36802	0.42205393	-0.2760825	0.70513475	2.0890586	-0.73344105	1080.8752	807.4464	3406.8257	0.17812952	20.267076	9.358943	43.64166	0.0072594914
13	13999	81.46327018737793	-185.48851	0.0	-185.48851	-185.48851	1000.0	-0.7609203	0.0	-0.7609203	-0.7609203	1000.0	22.048063	2.0807638	31.474424	13.848544	1.086438	-2.0016432	2.2771614	13.81351	-10.757886	-22.536762	0.082783125	0.0066516283	0.09480117	0.071723945	-12.472108	0.92691225	0.6849194	4.98627	8.568168e-06	-21.321589	12.9378805	22.489553	-36.371178	26.378159	13.869073	69.536736	9.756939	23.096167	1.2273446	28.229683	18.866173	-3.2819903	14.075154	13.717533	-48.483685	9.489203	10.901213	48.483685	0.0017393881	0.07738753	0.44270083	1.3463266	-0.70962083	208.88141	445.7253	2350.668	3.025471e-06	5.158829	7.3668404	34.405033	1.3209791e-07
