Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	2.3050568103790283	-189.94388	0.0	-189.94388	-189.94388	1000.0	-91.14535	0.0	-91.14535	-91.14535	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-45.46436	17.319944	-15.174638	-82.46985	-323.3788	23.454823	-268.43594	-369.1123	0.053679176	1.2117636	4.3365746	-3.410445	323.43246	23.45319	369.57315	269.08658	323.43246	23.45319	369.57315	269.08658	1.0001744	0.0037925001	1.013042	0.9891217	105158.62	15078.948	136584.33	72407.58	323.49075	23.51357	371.58438	268.00824
1	1999	4.5882837772369385	-190.16672	0.0	-190.16672	-190.16672	1000.0	-91.14535	0.0	-91.14535	-91.14535	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-60.94575	15.813081	-30.236717	-96.56254	-330.273	21.292841	-288.12744	-373.8644	0.013125756	1.1919905	3.802171	-3.456509	330.28613	21.35715	373.87637	285.97037	330.28613	21.35715	373.87637	285.97037	1.0000345	0.0036502094	1.0117897	0.98810494	109545.055	14222.977	139783.55	81779.05	330.30356	21.486794	374.95053	282.56873
2	2999	6.968192100524902	-222.79478	0.0	-222.79478	-222.79478	1000.0	-92.91861	0.0	-92.91861	-92.91861	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-60.785587	12.139695	-21.572266	-80.35261	-340.0516	16.472927	-301.4246	-382.8926	0.044585604	1.3031397	4.22097	-4.1589932	340.0962	16.514683	382.18585	300.9206	340.0962	16.514683	382.18585	300.9206	1.0001328	0.0038376471	1.0129704	0.9882203	115938.14	11203.361	146066.02	90553.21	340.14578	16.658598	383.01343	299.86682
3	3999	9.247527360916138	-223.22878	0.0	-223.22878	-223.22878	1000.0	-64.02006	0.0	-64.02006	-64.02006	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-38.99296	16.933172	3.4991603	-74.80147	-311.5477	21.90864	-255.64056	-357.8789	-0.018116802	1.250325	4.41748	-3.8365278	311.52957	21.892616	357.83817	255.10988	311.52957	21.892616	357.83817	255.10988	0.99995327	0.004044853	1.0141675	0.98741883	97529.97	13507.589	128048.15	65081.055	311.51648	21.947504	358.53812	252.58275
4	4999	11.535133600234985	-330.36008	0.0	-330.36008	-330.36008	1000.0	-55.79357	0.0	-55.79357	-55.79357	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-55.24466	18.291712	-19.317799	-89.00771	-332.3222	29.998468	-278.57568	-401.23495	0.024594026	1.2692374	4.8237753	-3.6525383	332.34677	30.06826	402.26123	276.2211	332.34677	30.06826	402.26123	276.2211	1.0000631	0.0038656022	1.0148027	0.98824364	111358.484	20429.64	161814.1	76298.1	332.37625	30.190851	403.96103	273.06625
5	5999	19.714035987854004	-297.9643	0.0	-297.9643	-297.9643	1000.0	-2.7825205	0.0	-2.7825205	-2.7825205	1000.0	26.619284	21.822752	108.55286	-10.48898	87.368675	-2.88396	2.6131568	38.97295	-11.012421	-29.380728	0.864032	0.08252652	1.005792	0.73377544	-0.9590165	0.80417234	0.7351967	22.721504	2.9802322e-06	-25.190756	13.370856	8.14825	-48.37476	37.026596	13.127672	70.84337	15.106237	54.79467	14.919644	110.75009	14.757797	17.768068	20.66824	84.29976	-41.36303	21.457773	16.80608	84.29976	0.035894234	0.6795701	0.79774505	3.647556	-0.60399306	742.88043	1132.6588	7106.4487	0.0012883961	27.780806	46.741253	294.04507	2.8170105e-05
6	6999	27.875104188919067	-198.15175	0.0	-198.15175	-198.15175	1000.0	-1008.5619	0.0	-1008.5619	-1008.5619	1000.0	79.09277	36.072433	205.18161	17.215736	94.61687	-2.735347	1.8790144	11.578667	-11.278053	-82.42398	0.63720983	0.05215411	0.73355824	0.5526095	-2.5784044	0.85695416	0.6465043	5.883647	1.7881393e-06	-25.933199	12.99926	6.158043	-61.70212	-6.4011374	13.452923	21.234968	-47.94533	98.727486	36.750683	189.27164	49.978924	105.12862	38.922043	197.09763	43.67721	105.12862	38.922043	197.09763	43.67721	8.633985	4.4958916	19.709763	2.1200166	12566.952	9301.966	38847.477	1907.6989	1045.8057	935.29974	3884.7476	94.169624
7	7999	36.04981017112732	-189.26453	0.0	-189.26453	-189.26453	1000.0	114.181175	0.0	114.181175	114.181175	1000.0	83.01472	31.993938	183.09521	40.255703	19.398043	-2.686605	1.9103774	11.369299	-12.7517805	-85.4317	0.47923744	0.041063473	0.552459	0.41065702	-4.214842	0.8969113	0.6742562	5.5390444	6.733462e-06	-17.648043	15.958404	31.19882	-51.94972	35.639797	17.019554	84.868675	-2.7607417	79.06727	18.595165	105.556816	47.597492	43.42747	30.344913	78.00841	-34.56962	47.270622	23.921684	78.00841	0.088821	1.7361209	1.3320707	6.1351585	-0.4121914	2806.7585	2033.7203	6085.3115	0.00788917	108.76393	87.65878	376.40167	0.00013428973
8	8999	44.20790195465088	-361.81967	0.0	-361.81967	-361.81967	1000.0	-11.499069	0.0	-11.499069	-11.499069	1000.0	53.357807	13.379278	101.11036	33.48221	5.6927633	-3.0185175	1.622833	10.099552	-10.576988	-55.009697	0.35328472	0.03138197	0.41053084	0.3017153	-6.2876153	0.8716437	0.6618295	6.292625	1.0371208e-05	-28.98052	16.21802	-5.1463075	-68.01956	34.24038	15.682089	60.90048	-2.9786441	41.554913	4.063512	51.26197	32.72613	7.3145366	14.674385	41.647873	-23.397783	12.487435	10.625629	41.647873	0.018252311	0.6359773	1.2097284	4.1647873	-0.4002518	268.84003	410.48788	1734.5452	0.00033314686	20.6501	41.768867	173.45453	8.509045e-06
9	9999	52.39246392250061	-299.599	0.0	-299.599	-299.599	1000.0	-22.229612	0.0	-22.229612	-22.229612	1000.0	33.858627	5.0338516	51.756016	20.872995	2.983833	-3.1199913	1.519118	5.327715	-11.052896	-35.069862	0.2598213	0.02292302	0.30162197	0.22224829	-8.270984	0.8523016	0.64693195	6.351433	1.2293458e-06	-19.75924	15.390612	13.461495	-43.0502	45.159607	16.424223	80.12281	20.42814	30.28737	1.5151907	34.241093	26.039738	-14.872239	16.38213	11.152779	-48.570675	16.740152	14.468065	48.570675	0.011628113	-0.23467343	0.27719143	0.537424	-0.62950915	489.55762	655.2392	2359.1104	0.00013521302	7.77989	8.911401	29.935665	4.8196116e-06
