Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	1.136493444442749	18.500225	16.669497	111.7164	6.185877	21.911112	18.614885	0.0	18.614885	18.614885	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.383548	7.6243505	45.719738	-2.8630075	10.102148	9.731991	55.059658	-3.5936317	-0.17117298	0.15871379	0.35890806	-0.78302085	-10.273321	9.701851	3.5996046	-55.141697	10.351444	9.618454	55.141697	0.0022650766	-0.6477144	0.386997	0.35996047	-1.0439003	199.66704	370.7242	3040.6067	5.130572e-06	9.509922	10.250607	55.223858	5.1305716e-07
1	1999	2.2279958724975586	17.70907	14.165849	67.205025	3.9594252	21.891304	18.614885	0.0	18.614885	18.614885	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.926516	11.624167	55.5336	-1.2636311	12.94633	14.410363	70.94549	-1.6335709	-0.17513645	0.161145	0.30022225	-1.048798	-13.121466	14.390464	1.5152931	-71.046875	13.144927	14.369037	71.046875	0.0004724876	-0.6757457	0.37089202	0.15152931	-1.0509967	379.25833	831.4925	5047.6587	2.2324453e-07	12.337117	14.970343	71.14841	2.2324453e-08
2	2999	3.316011905670166	17.825142	22.95943	140.58832	5.134584	20.375	18.496222	0.0	18.496222	18.496222	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.418002	15.840433	83.16948	-1.8408031	12.323285	18.26115	97.51582	-3.1673777	-0.17438914	0.15354858	0.2770531	-0.7811843	-12.497675	18.252895	3.1295938	-97.50578	12.573199	18.200954	97.50578	0.003669462	-0.6303676	0.39061865	0.31295937	-1.0657563	489.36014	1569.6812	9507.378	1.3464951e-05	11.717915	18.678982	97.97168	1.3464951e-06
3	3999	4.457359790802002	15.418226	9.422609	55.177822	5.3764033	20.67347	18.67411	0.0	18.67411	18.67411	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.560391	5.1475153	25.984592	-3.431429	7.7938113	6.90235	34.999825	-3.0188594	-0.18422659	0.158672	0.22201562	-0.9466177	-7.978038	6.861481	2.9583778	-34.958527	8.078981	6.7423334	34.958527	0.011574248	-0.60084766	0.38698098	0.2958378	-1.0490763	110.729004	165.3907	1222.0986	0.0001339632	7.091386	7.395821	34.91728	1.339632e-05
4	4999	5.602455139160156	19.112518	15.365239	93.06457	6.7504177	22.533333	18.299694	0.0	18.299694	18.299694	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.8295302	6.788726	34.344048	-1.1932677	9.309849	9.210797	48.437393	-2.8734748	-0.17027193	0.1575842	0.3622594	-0.77662945	-9.480121	9.180789	2.6785421	-48.557373	9.538751	9.119858	48.557373	0.004873109	-0.623276	0.3804371	0.2678542	-1.0491788	174.15956	325.39584	2357.8184	2.374719e-05	8.598406	9.757684	48.67765	2.374719e-06
5	5999	12.424460887908936	6.222059	8.994501	57.221214	-1.3010238	14.984848	-0.647921	0.0	-0.647921	-0.647921	18.0	185.54453	240.91924	1467.3558	-0.80573463	3558.2139	1.7134418	3.778871	22.935352	-10.439421	-208.06894	0.9428917	0.04987628	1.0706342	0.88759977	-0.031778287	1.3691063	0.8608995	11.540987	6.0498714e-06	-3.9462736	2.1529284	1.0900787	-7.0854306	-14.503271	6.552581	-0.6565844	-24.593159	836.20416	259.59076	1217.6106	346.35175	850.7075	265.2315	1239.4106	349.18402	850.7075	265.2315	1239.4106	349.18402	54.015263	8.835603	80.64868	34.918404	794050.94	456559.88	1536138.9	121929.484	46847.65	18274.31	97339.4	12192.948
6	6999	19.217374086380005	32.644928	17.646584	76.33984	-1.062475	25.275	38.523415	0.0	38.523415	38.523415	22.0	3533.762	1960.6295	12639.573	321.31717	543762.2	9.463271	2.5585227	22.815296	-10.69651	-3891.2644	1.3501806	0.16313533	1.6346858	1.0711536	-2.5689087	2.633208	0.85765296	7.414954	0.000464499	21.605053	10.573902	36.84247	1.9688529	1.5104393	2.2155128	6.631707	-6.7735543	8408.469	678.86896	9826.781	7156.7227	8406.958	679.08264	9824.033	7155.4033	8406.958	679.08264	9824.033	7155.4033	840.6959	67.908264	982.4033	715.54034	71138120.0	11516721.0	96511624.0	51199796.0	7113811.0	1151672.1	9651163.0	5119979.5
7	7999	26.03980588912964	19.544762	22.003668	88.030975	1.1818377	29.34375	55.75122	0.0	55.75122	55.75122	34.0	8681.13	2646.068	20033.121	990.15826	2462292.5	9.732085	2.3440187	22.784534	-4.6613207	-9352.553	1.9388777	0.17861478	2.2475924	1.6353014	-5.699816	2.6733258	1.077201	8.9582205	9.101629e-05	32.06565	14.766909	57.615616	1.933738	6.8299313	2.8405092	13.501131	-5.2470255	12653.072	947.7085	14841.443	10385.603	12646.242	948.7553	14838.966	10382.827	12646.242	948.7553	14838.966	10382.827	1252.9553	109.33408	1483.8966	891.03186	160827580.0	24117008.0	220194910.0	107803090.0	15940813.0	2532555.8	22019490.0	10631546.0
8	8999	32.793524980545044	32.944443	29.568607	175.90274	0.86831063	27.153847	1.5925748	0.0	1.5925748	1.5925748	22.0	8620.09	2848.0205	20015.363	362.79633	2322299.0	9.618529	2.353633	19.123482	-9.949219	-9191.73	2.636807	0.23093428	3.04109	2.2481954	-8.283756	2.6551573	0.8685014	6.425281	9.688735e-05	-2.1368115	1.7257353	2.7603822	-4.582554	-15.024011	7.5561957	-0.23772915	-28.03655	5508.781	2710.6223	10529.545	1899.7594	5523.805	2715.0684	10552.502	1913.306	5523.805	2715.0684	10552.502	1913.306	338.96463	117.537186	649.0403	114.34807	37884016.0	34165296.0	111355290.0	3660739.8	2062465.5	1371190.1	4946555.0	237050.77
9	9999	39.53834390640259	33.230053	31.159897	92.18415	0.54366505	32.2	66.59427	0.0	66.59427	66.59427	41.0	4960.0303	2407.041	16098.733	-471.9731	956300.6	6.596994	2.439024	16.308641	-7.709687	-5225.5444	3.4225507	0.21245041	3.7839613	3.0419316	-6.8118196	2.1496534	0.91146326	6.7889705	6.4358115e-05	34.188244	15.4158325	55.61494	2.2357316	20.732624	8.39412	34.54688	2.2357316	4447.4473	491.60352	5843.5615	3618.3735	4426.715	493.9217	5814.472	3592.9312	4426.715	493.9217	5814.472	3592.9312	246.75215	126.95079	530.4221	114.74012	19839762.0	4406667.5	33808090.0	12909154.0	1124559.9	665647.75	2813476.0	435984.9
